Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
NPRL3,3.0,23.0,18.0,6.0,4.0,15.0,4.0,19.0,3.0,9.0,6.0,17.0,3.0,5.0,5.0,95.0
OAZ1,3.0,3.0,2.0,4.0,1.0,4.0,3.0,3.0,9.0,2.0,2.0,3.0,1.0,9.0,9.0,45.0
OST4,3.0,2.0,1.0,3.0,2.0,2.0,4.0,4.0,9.0,22.0,4.0,9.0,6.0,1.0,1.0,49.0
PEX13,9.0,8.0,3.0,2.0,8.0,11.0,9.0,10.0,9.0,9.0,12.0,6.0,11.0,2.0,3.0,68.0
PEX16,6.0,10.0,11.0,7.0,3.0,6.0,15.0,19.0,11.0,10.0,6.0,9.0,3.0,0.0,2.0,83.0
PEX19,6.0,4.0,6.0,1.0,3.0,1.0,10.0,7.0,5.0,6.0,7.0,7.0,12.0,2.0,3.0,48.0
PINK1,12.0,4.0,3.0,5.0,8.0,4.0,3.0,2.0,11.0,5.0,11.0,7.0,10.0,7.0,10.0,85.0
PPWD1,8.0,16.0,3.0,3.0,3.0,1.0,11.0,2.0,11.0,5.0,2.0,6.0,3.0,10.0,9.0,77.0
PRPF38A,12.0,10.0,13.0,4.0,7.0,9.0,5.0,8.0,14.0,6.0,15.0,16.0,8.0,5.0,11.0,98.0
PSMA4,14.0,8.0,5.0,1.0,2.0,2.0,2.0,7.0,5.0,9.0,13.0,8.0,7.0,5.0,1.0,69.0
PSMB1,11.0,7.0,0.0,2.0,4.0,1.0,3.0,7.0,10.0,4.0,6.0,8.0,4.0,6.0,14.0,72.0
PSMB10,6.0,28.0,3.0,4.0,0.0,0.0,2.0,1.0,9.0,1.0,6.0,10.0,9.0,0.0,1.0,58.0
PSMB8,1.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,7.0,2.0,12.0,3.0,0.0,21.0
RAB11B,7.0,5.0,1.0,5.0,1.0,3.0,8.0,7.0,16.0,8.0,2.0,3.0,2.0,6.0,5.0,46.0
RAB2B,12.0,4.0,2.0,2.0,4.0,5.0,15.0,7.0,16.0,3.0,3.0,8.0,12.0,13.0,14.0,93.0
RAB3GAP1,4.0,5.0,1.0,2.0,5.0,7.0,3.0,2.0,2.0,1.0,5.0,5.0,0.0,3.0,10.0,39.0
RABL3,5.0,4.0,18.0,12.0,2.0,1.0,14.0,7.0,18.0,14.0,13.0,6.0,8.0,12.0,5.0,95.0
RIF1,3.0,17.0,12.0,16.0,7.0,9.0,8.0,5.0,16.0,8.0,7.0,8.0,11.0,8.0,11.0,95.0
RPL35,7.0,4.0,7.0,10.0,6.0,12.0,7.0,14.0,17.0,5.0,14.0,5.0,11.0,8.0,8.0,98.0
RPL36A,4.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,25.0,6.0,6.0,7.0,1.0,0.0,2.0,49.0
RPL39L,29.0,0.0,2.0,7.0,2.0,6.0,11.0,4.0,12.0,5.0,4.0,8.0,13.0,9.0,7.0,83.0
RPS3,4.0,9.0,5.0,10.0,3.0,6.0,16.0,2.0,6.0,9.0,12.0,8.0,7.0,10.0,4.0,88.0
RPS6KA1,3.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,8.0,0.0,5.0,9.0,8.0,7.0,3.0,44.0
RPS6KB2,0.0,0.0,0.0,0.0,0.0,6.0,6.0,16.0,3.0,0.0,12.0,5.0,0.0,6.0,2.0,36.0
