Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
ERCC2,23.0,3.0,15.0,18.0,21.0,21.0,34.0,32.0,56.0,9.0,19.0,34.0,25.0,20.0,45.0,286.0
ESRP2,3.0,9.0,9.0,13.0,3.0,11.0,10.0,23.0,19.0,22.0,23.0,10.0,5.0,4.0,12.0,111.0
ETFA,13.0,21.0,21.0,20.0,8.0,8.0,14.0,10.0,38.0,15.0,17.0,8.0,8.0,10.0,13.0,154.0
EXOC3,30.0,47.0,80.0,33.0,21.0,58.0,27.0,46.0,43.0,30.0,72.0,71.0,25.0,22.0,24.0,461.0
FAM193A,17.0,24.0,28.0,8.0,6.0,11.0,34.0,35.0,28.0,8.0,11.0,19.0,18.0,16.0,11.0,199.0
FANCI,45.0,22.0,33.0,24.0,15.0,31.0,19.0,27.0,40.0,29.0,53.0,35.0,26.0,14.0,17.0,313.0
FGFR1,88.0,50.0,44.0,75.0,46.0,62.0,85.0,56.0,112.0,49.0,62.0,89.0,66.0,62.0,86.0,817.0
FIP1L1,22.0,25.0,52.0,16.0,8.0,18.0,15.0,29.0,25.0,15.0,40.0,20.0,14.0,17.0,28.0,259.0
GABARAPL1,12.0,12.0,10.0,12.0,9.0,14.0,10.0,12.0,21.0,4.0,34.0,11.0,7.0,6.0,10.0,142.0
GCN1,21.0,26.0,22.0,21.0,10.0,21.0,22.0,63.0,53.0,18.0,64.0,45.0,74.0,19.0,19.0,364.0
GDI2,10.0,28.0,67.0,23.0,16.0,14.0,6.0,26.0,16.0,36.0,33.0,33.0,10.0,9.0,11.0,207.0
GINS1,201.0,110.0,109.0,182.0,98.0,105.0,118.0,115.0,181.0,100.0,146.0,171.0,144.0,101.0,134.0,1669.0
GLE1,18.0,15.0,30.0,21.0,2.0,24.0,12.0,29.0,22.0,24.0,44.0,16.0,39.0,6.0,7.0,235.0
GOLGA2,15.0,6.0,28.0,13.0,2.0,2.0,12.0,9.0,17.0,32.0,4.0,22.0,12.0,5.0,11.0,143.0
GSPT1,32.0,19.0,7.0,14.0,12.0,17.0,14.0,21.0,63.0,11.0,81.0,30.0,28.0,21.0,16.0,282.0
GSR,16.0,14.0,18.0,17.0,12.0,14.0,22.0,16.0,33.0,16.0,8.0,21.0,14.0,11.0,22.0,199.0
HAUS3,23.0,8.0,12.0,26.0,6.0,9.0,12.0,8.0,19.0,7.0,2.0,17.0,24.0,2.0,4.0,147.0
HDAC3,34.0,32.0,52.0,55.0,10.0,48.0,25.0,50.0,30.0,41.0,42.0,57.0,62.0,15.0,15.0,403.0
HSP90B1,177.0,139.0,120.0,161.0,103.0,129.0,131.0,128.0,180.0,93.0,141.0,179.0,142.0,114.0,126.0,1666.0
HYOU1,78.0,63.0,36.0,35.0,20.0,51.0,65.0,44.0,81.0,37.0,54.0,94.0,44.0,19.0,35.0,599.0
IARS2,7.0,19.0,3.0,13.0,2.0,6.0,13.0,8.0,26.0,6.0,10.0,8.0,6.0,4.0,7.0,109.0
INO80,87.0,107.0,81.0,45.0,45.0,67.0,72.0,69.0,73.0,92.0,135.0,79.0,87.0,49.0,75.0,894.0
INTS14,21.0,6.0,25.0,14.0,6.0,11.0,8.0,12.0,20.0,15.0,17.0,8.0,11.0,6.0,14.0,131.0
INTS7,40.0,23.0,47.0,27.0,28.0,33.0,37.0,30.0,18.0,10.0,48.0,54.0,17.0,38.0,24.0,340.0
ITGAV,120.0,77.0,64.0,65.0,48.0,78.0,72.0,72.0,100.0,54.0,80.0,117.0,77.0,61.0,68.0,922.0
ITGB1,206.0,132.0,138.0,158.0,109.0,113.0,132.0,116.0,180.0,102.0,125.0,205.0,147.0,112.0,128.0,1745.0
ITGB5,186.0,152.0,132.0,180.0,116.0,160.0,138.0,124.0,196.0,110.0,185.0,199.0,164.0,119.0,148.0,1866.0
ITPK1,45.0,9.0,14.0,24.0,7.0,10.0,22.0,20.0,75.0,18.0,8.0,26.0,32.0,7.0,36.0,273.0
JOSD1,25.0,48.0,12.0,15.0,8.0,21.0,20.0,17.0,30.0,16.0,54.0,14.0,19.0,11.0,20.0,239.0
JTB,4.0,24.0,11.0,6.0,2.0,9.0,11.0,10.0,12.0,5.0,17.0,11.0,27.0,11.0,7.0,109.0
KATNA1,78.0,111.0,123.0,119.0,63.0,85.0,84.0,90.0,119.0,106.0,86.0,127.0,85.0,53.0,57.0,1119.0
KCTD10,23.0,34.0,34.0,32.0,23.0,11.0,22.0,18.0,46.0,20.0,22.0,45.0,30.0,9.0,25.0,320.0
KDM1A,66.0,50.0,89.0,79.0,41.0,48.0,63.0,43.0,74.0,62.0,45.0,76.0,44.0,44.0,48.0,675.0
KDM5A,17.0,12.0,35.0,24.0,13.0,25.0,16.0,30.0,40.0,25.0,32.0,40.0,26.0,12.0,14.0,274.0
KIF5B,25.0,80.0,124.0,51.0,21.0,50.0,33.0,38.0,55.0,97.0,40.0,38.0,29.0,27.0,21.0,494.0
KPNA6,18.0,14.0,25.0,23.0,12.0,12.0,13.0,15.0,32.0,27.0,35.0,33.0,30.0,23.0,11.0,231.0
LAMP1,39.0,33.0,24.0,40.0,23.0,31.0,43.0,34.0,59.0,131.0,39.0,44.0,44.0,16.0,39.0,474.0
LAMTOR3,107.0,105.0,95.0,105.0,73.0,81.0,75.0,108.0,154.0,68.0,167.0,141.0,114.0,99.0,110.0,1226.0
LTA4H,14.0,14.0,8.0,8.0,6.0,4.0,5.0,5.0,30.0,1.0,4.0,12.0,12.0,1.0,9.0,104.0
MAD1L1,22.0,9.0,27.0,21.0,12.0,20.0,15.0,17.0,26.0,29.0,25.0,29.0,37.0,17.0,17.0,272.0
MAP1LC3B,8.0,14.0,9.0,15.0,12.0,8.0,9.0,16.0,38.0,11.0,31.0,8.0,7.0,5.0,11.0,141.0
MAPK3,18.0,42.0,17.0,21.0,4.0,15.0,8.0,16.0,14.0,30.0,79.0,14.0,16.0,9.0,7.0,228.0
MCM3,17.0,16.0,20.0,15.0,5.0,12.0,9.0,15.0,22.0,10.0,20.0,31.0,9.0,4.0,14.0,168.0
MCM3AP,19.0,11.0,21.0,8.0,3.0,16.0,6.0,26.0,12.0,4.0,28.0,19.0,18.0,11.0,9.0,154.0
MCM5,80.0,77.0,56.0,92.0,56.0,76.0,56.0,56.0,111.0,57.0,95.0,82.0,54.0,68.0,65.0,870.0
MED1,1.0,1.0,20.0,13.0,13.0,18.0,21.0,17.0,35.0,9.0,8.0,6.0,5.0,23.0,24.0,126.0
MED12,192.0,136.0,133.0,185.0,115.0,150.0,159.0,141.0,217.0,127.0,155.0,215.0,153.0,138.0,154.0,1933.0
MED17,29.0,13.0,14.0,16.0,7.0,6.0,14.0,23.0,50.0,9.0,10.0,19.0,24.0,7.0,9.0,197.0
MED8,25.0,17.0,20.0,11.0,9.0,9.0,16.0,21.0,52.0,23.0,6.0,24.0,24.0,9.0,13.0,216.0
MED9,8.0,10.0,13.0,15.0,3.0,8.0,11.0,13.0,29.0,25.0,11.0,12.0,23.0,6.0,14.0,155.0
MFN2,20.0,45.0,53.0,40.0,20.0,28.0,34.0,38.0,120.0,10.0,69.0,54.0,70.0,36.0,38.0,490.0
MNT,11.0,17.0,21.0,11.0,6.0,2.0,23.0,23.0,34.0,30.0,10.0,15.0,4.0,2.0,6.0,150.0
MORF4L2,33.0,28.0,25.0,37.0,29.0,44.0,35.0,21.0,78.0,19.0,47.0,47.0,48.0,32.0,53.0,442.0
MRPL13,73.0,63.0,33.0,52.0,48.0,56.0,69.0,55.0,88.0,20.0,72.0,81.0,54.0,58.0,80.0,672.0
MRPL18,10.0,13.0,24.0,17.0,6.0,19.0,13.0,14.0,60.0,10.0,30.0,11.0,9.0,16.0,9.0,169.0
MRPL27,3.0,12.0,13.0,12.0,3.0,11.0,10.0,5.0,45.0,2.0,23.0,4.0,8.0,8.0,8.0,108.0
MRPL28,11.0,27.0,21.0,19.0,7.0,26.0,8.0,25.0,23.0,10.0,82.0,9.0,13.0,13.0,14.0,207.0
MRPL33,12.0,7.0,11.0,10.0,9.0,12.0,9.0,15.0,22.0,2.0,12.0,13.0,13.0,13.0,7.0,117.0
MRPL57,34.0,35.0,23.0,26.0,12.0,20.0,41.0,30.0,46.0,33.0,44.0,22.0,21.0,16.0,34.0,316.0
MRPS18C,30.0,15.0,24.0,11.0,4.0,14.0,20.0,22.0,58.0,13.0,42.0,7.0,11.0,18.0,18.0,208.0
MRPS26,22.0,5.0,23.0,15.0,3.0,16.0,11.0,22.0,22.0,17.0,17.0,9.0,11.0,9.0,5.0,142.0
MRPS31,32.0,12.0,5.0,27.0,5.0,9.0,39.0,16.0,27.0,14.0,27.0,14.0,8.0,18.0,14.0,197.0
MTOR,137.0,122.0,124.0,156.0,85.0,94.0,152.0,126.0,205.0,123.0,177.0,168.0,140.0,114.0,166.0,1665.0
MVB12A,18.0,1.0,7.0,8.0,1.0,2.0,12.0,12.0,30.0,16.0,7.0,7.0,17.0,3.0,6.0,121.0
MYC,121.0,89.0,104.0,122.0,85.0,99.0,130.0,89.0,157.0,82.0,99.0,158.0,112.0,96.0,123.0,1339.0
MYO1B,35.0,66.0,26.0,26.0,13.0,32.0,9.0,22.0,50.0,25.0,36.0,21.0,13.0,19.0,22.0,319.0
MYO1E,5.0,36.0,30.0,28.0,3.0,25.0,9.0,14.0,14.0,12.0,16.0,8.0,16.0,10.0,9.0,154.0
NBR1,17.0,20.0,5.0,12.0,13.0,9.0,17.0,11.0,29.0,9.0,20.0,5.0,10.0,14.0,16.0,159.0
NCOR1,32.0,30.0,42.0,23.0,10.0,18.0,36.0,31.0,36.0,58.0,11.0,25.0,20.0,20.0,28.0,312.0
NDEL1,9.0,5.0,68.0,9.0,4.0,6.0,11.0,9.0,8.0,76.0,5.0,6.0,6.0,5.0,1.0,159.0
NDUFA10,30.0,11.0,9.0,9.0,7.0,18.0,30.0,17.0,37.0,10.0,15.0,15.0,16.0,17.0,12.0,175.0
NDUFA11,22.0,4.0,20.0,33.0,12.0,13.0,30.0,16.0,76.0,21.0,9.0,10.0,17.0,16.0,20.0,206.0
NDUFA2,8.0,7.0,9.0,7.0,10.0,7.0,34.0,8.0,51.0,5.0,6.0,11.0,4.0,24.0,16.0,135.0
NEDD8,81.0,48.0,45.0,46.0,40.0,52.0,51.0,49.0,70.0,27.0,40.0,69.0,93.0,44.0,53.0,719.0
NMD3,50.0,24.0,30.0,55.0,46.0,48.0,62.0,39.0,85.0,12.0,26.0,70.0,36.0,66.0,74.0,552.0
NPEPPS,94.0,70.0,46.0,94.0,45.0,74.0,89.0,49.0,106.0,66.0,85.0,80.0,92.0,55.0,80.0,868.0
NPRL3,3.0,31.0,25.0,2.0,11.0,16.0,11.0,34.0,14.0,11.0,9.0,17.0,7.0,11.0,9.0,134.0
NSMCE4A,49.0,31.0,30.0,56.0,41.0,41.0,32.0,39.0,57.0,18.0,66.0,73.0,49.0,24.0,35.0,504.0
NUDT12,13.0,3.0,2.0,3.0,3.0,6.0,45.0,6.0,8.0,1.0,3.0,11.0,12.0,32.0,5.0,102.0
NUP188,10.0,16.0,16.0,7.0,3.0,4.0,5.0,2.0,11.0,6.0,16.0,17.0,9.0,8.0,2.0,111.0
OSTC,11.0,11.0,26.0,21.0,3.0,10.0,22.0,21.0,16.0,107.0,36.0,17.0,22.0,7.0,6.0,225.0
PABPN1,15.0,6.0,13.0,15.0,0.0,18.0,4.0,33.0,8.0,35.0,20.0,24.0,28.0,2.0,4.0,158.0
PAFAH1B1,26.0,14.0,97.0,42.0,15.0,24.0,48.0,24.0,31.0,110.0,17.0,27.0,19.0,23.0,19.0,399.0
PAK2,126.0,146.0,80.0,127.0,85.0,101.0,105.0,102.0,133.0,73.0,91.0,132.0,109.0,80.0,86.0,1307.0
PDCD6IP,61.0,47.0,38.0,45.0,33.0,35.0,45.0,35.0,38.0,41.0,52.0,55.0,47.0,23.0,42.0,535.0
PEF1,13.0,3.0,16.0,10.0,4.0,2.0,6.0,3.0,18.0,10.0,3.0,12.0,13.0,9.0,4.0,106.0
PER1,43.0,23.0,34.0,28.0,16.0,22.0,18.0,22.0,34.0,55.0,19.0,27.0,23.0,20.0,32.0,333.0
PHB2,46.0,52.0,35.0,39.0,23.0,42.0,32.0,25.0,52.0,30.0,28.0,55.0,35.0,25.0,38.0,443.0
PINK1,7.0,10.0,2.0,6.0,11.0,10.0,7.0,3.0,11.0,8.0,25.0,7.0,15.0,10.0,13.0,121.0
PLRG1,33.0,14.0,30.0,20.0,5.0,17.0,18.0,9.0,28.0,29.0,27.0,16.0,29.0,20.0,16.0,242.0
PML,57.0,32.0,38.0,46.0,28.0,45.0,42.0,37.0,79.0,26.0,62.0,44.0,31.0,32.0,52.0,478.0
POGZ,61.0,53.0,41.0,41.0,40.0,51.0,47.0,50.0,67.0,28.0,50.0,52.0,49.0,70.0,66.0,548.0
POLD2,158.0,89.0,108.0,146.0,85.0,113.0,99.0,93.0,133.0,85.0,127.0,151.0,130.0,95.0,121.0,1435.0
PPP1CA,17.0,34.0,27.0,31.0,9.0,27.0,26.0,38.0,30.0,35.0,94.0,45.0,37.0,21.0,20.0,346.0
PPP2R2A,90.0,80.0,129.0,120.0,33.0,66.0,74.0,74.0,97.0,113.0,144.0,73.0,68.0,31.0,61.0,910.0
PPP2R3C,20.0,45.0,40.0,25.0,9.0,18.0,27.0,45.0,61.0,19.0,23.0,36.0,31.0,16.0,22.0,326.0
PRIM2,145.0,64.0,69.0,113.0,51.0,75.0,61.0,70.0,101.0,53.0,101.0,110.0,87.0,53.0,59.0,1025.0
PRMT5,74.0,21.0,57.0,48.0,34.0,44.0,68.0,37.0,39.0,38.0,49.0,61.0,56.0,33.0,57.0,574.0
PRPF38A,8.0,21.0,15.0,9.0,13.0,12.0,11.0,10.0,18.0,8.0,19.0,24.0,9.0,10.0,11.0,129.0
PSMA3,16.0,13.0,21.0,7.0,10.0,20.0,11.0,23.0,23.0,16.0,23.0,14.0,17.0,12.0,9.0,179.0
PSMB5,34.0,8.0,4.0,15.0,9.0,11.0,16.0,21.0,31.0,8.0,13.0,18.0,22.0,15.0,23.0,185.0
PSMC6,13.0,2.0,12.0,13.0,7.0,7.0,15.0,10.0,24.0,6.0,2.0,9.0,14.0,14.0,14.0,129.0
PSMD10,33.0,64.0,39.0,34.0,14.0,33.0,20.0,109.0,85.0,70.0,21.0,30.0,31.0,12.0,20.0,417.0
PSMD13,72.0,29.0,33.0,43.0,40.0,58.0,56.0,86.0,91.0,14.0,34.0,61.0,54.0,43.0,65.0,570.0
PSMD5,18.0,41.0,24.0,11.0,14.0,25.0,20.0,84.0,30.0,39.0,8.0,24.0,23.0,8.0,15.0,254.0
PSMD9,39.0,22.0,7.0,14.0,5.0,8.0,11.0,19.0,27.0,8.0,8.0,23.0,26.0,9.0,11.0,181.0
PSMF1,20.0,30.0,54.0,35.0,10.0,22.0,26.0,26.0,30.0,44.0,52.0,13.0,24.0,16.0,23.0,289.0
