Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
RELA,7.0,10.0,7.0,12.0,6.0,11.0,14.0,117.0,8.0,8.0,9.0,28.0,14.0,3.0,9.0,197.0
RFC3,170.0,93.0,105.0,146.0,91.0,105.0,111.0,78.0,149.0,88.0,129.0,155.0,122.0,88.0,120.0,1485.0
RFC5,143.0,83.0,97.0,118.0,65.0,78.0,85.0,58.0,116.0,71.0,101.0,120.0,92.0,67.0,84.0,1172.0
RHEB,12.0,8.0,19.0,15.0,5.0,11.0,12.0,4.0,19.0,23.0,75.0,17.0,10.0,12.0,16.0,192.0
RHOB,16.0,23.0,17.0,13.0,9.0,13.0,8.0,5.0,16.0,15.0,12.0,9.0,6.0,5.0,6.0,122.0
RNPS1,8.0,15.0,16.0,7.0,5.0,13.0,20.0,16.0,21.0,7.0,63.0,13.0,18.0,6.0,14.0,177.0
RPL18,21.0,14.0,10.0,6.0,17.0,23.0,16.0,9.0,33.0,4.0,14.0,15.0,13.0,22.0,27.0,192.0
RPL19,39.0,15.0,23.0,22.0,37.0,33.0,24.0,26.0,61.0,20.0,30.0,52.0,25.0,32.0,50.0,387.0
RPL29,16.0,18.0,22.0,28.0,18.0,33.0,26.0,31.0,44.0,32.0,27.0,31.0,18.0,27.0,21.0,281.0
RPL32,20.0,17.0,16.0,24.0,23.0,40.0,24.0,21.0,60.0,11.0,31.0,29.0,8.0,37.0,48.0,302.0
RPL35A,9.0,26.0,6.0,7.0,7.0,15.0,6.0,2.0,13.0,10.0,12.0,7.0,4.0,15.0,20.0,119.0
RPL36,18.0,19.0,9.0,19.0,19.0,31.0,28.0,21.0,56.0,11.0,33.0,27.0,16.0,21.0,30.0,271.0
RPL37,19.0,4.0,17.0,16.0,8.0,13.0,19.0,17.0,25.0,4.0,8.0,16.0,12.0,9.0,13.0,150.0
RPL39,42.0,22.0,33.0,40.0,33.0,44.0,25.0,21.0,41.0,8.0,38.0,43.0,25.0,16.0,36.0,349.0
RPL4,25.0,18.0,6.0,16.0,15.0,18.0,17.0,8.0,62.0,14.0,16.0,14.0,13.0,18.0,25.0,228.0
RPL5,8.0,7.0,3.0,3.0,12.0,17.0,14.0,10.0,30.0,6.0,10.0,22.0,6.0,11.0,15.0,125.0
RPN1,11.0,11.0,12.0,28.0,6.0,12.0,30.0,13.0,19.0,32.0,25.0,28.0,27.0,6.0,8.0,183.0
RPS12,18.0,15.0,23.0,30.0,7.0,25.0,21.0,13.0,22.0,33.0,39.0,37.0,18.0,13.0,19.0,247.0
RPS16,43.0,50.0,43.0,40.0,26.0,49.0,44.0,37.0,46.0,55.0,66.0,78.0,44.0,22.0,41.0,536.0
RPS24,49.0,46.0,41.0,42.0,30.0,32.0,31.0,33.0,58.0,41.0,56.0,65.0,37.0,21.0,35.0,492.0
RPS4X,26.0,19.0,8.0,16.0,8.0,12.0,18.0,19.0,21.0,12.0,26.0,35.0,33.0,7.0,11.0,224.0
RPS6,51.0,39.0,42.0,39.0,25.0,28.0,42.0,32.0,40.0,42.0,33.0,57.0,37.0,17.0,32.0,458.0
RPS8,11.0,9.0,15.0,9.0,8.0,10.0,8.0,21.0,17.0,11.0,20.0,22.0,17.0,12.0,19.0,158.0
RRAGC,53.0,30.0,52.0,42.0,24.0,29.0,43.0,34.0,53.0,50.0,66.0,51.0,35.0,46.0,60.0,510.0
RSU1,152.0,122.0,84.0,126.0,77.0,88.0,113.0,83.0,140.0,75.0,115.0,151.0,124.0,75.0,116.0,1371.0
SAP130,39.0,9.0,14.0,19.0,14.0,21.0,14.0,24.0,22.0,17.0,20.0,36.0,10.0,29.0,26.0,216.0
SCNM1,13.0,20.0,27.0,10.0,7.0,18.0,10.0,11.0,19.0,39.0,61.0,18.0,20.0,11.0,13.0,209.0
SCO1,13.0,9.0,29.0,18.0,6.0,7.0,20.0,5.0,30.0,34.0,9.0,24.0,10.0,8.0,12.0,187.0
SDHB,41.0,89.0,41.0,50.0,38.0,40.0,73.0,26.0,91.0,63.0,69.0,72.0,36.0,62.0,54.0,630.0
SDHD,39.0,79.0,28.0,29.0,21.0,24.0,45.0,20.0,74.0,44.0,47.0,45.0,18.0,48.0,38.0,417.0
SEC11A,60.0,49.0,51.0,53.0,38.0,48.0,63.0,40.0,93.0,48.0,64.0,61.0,43.0,41.0,57.0,619.0
SEPHS2,6.0,27.0,25.0,9.0,2.0,7.0,16.0,12.0,13.0,6.0,51.0,20.0,5.0,6.0,8.0,142.0
